Designator,DistPartNo,Footprint,ManPartNo,Quantity

"C1, C4, C6, C8, C10, C12, C14, C16, C18, C20","445-1311-1-ND","1608[0603]","C1608X7R1H103K","10"
"C2, C27, C29, C30, C32, C33, C35, C37, C38, C39, C40, C42, C43, C61, C65","445-6857-1-ND","0805","C2012X7R1A106K","15"
"C3, C5, C7, C9, C11, C13, C15, C17, C19, C24, C26, C31, C34, C46, C48, C50, C51, C52, C53, C54, C55","1276-1005-1-ND","1608[0603]","CL10B104KO8NNNC","21"
"C21, C22, C23","399-7893-1-ND","1608[0603]","C0603C302K5GACTU","3"
"C25, C36, C41, C44, C45","445-1235-1-ND","0402","C1005C0G1H100D","5"
"C28, FD1, FD2, FD3, R1, R2, R3, R53, TP1, TP14, TP16, TP17, TP18, TP19, TP20, TP21, TP22, TP23, TP24, TP26, TP27, TP28","","0402, FIDUCIAL, FIDUCIAL, FIDUCIAL, 0603, 0603, 0603, 0402, TP, TP, TP, TP, TP, TP, TP, TP, TP, TP, TP, TP, TP, TP","","22"
"C47, C56","1276-1019-1-ND","1608[0603]","CL10B105KO8NNNC","2"
"C49","478-1232-1-ND","1608[0603]","06035C273KAT2A","1"
"C62, C63","445-4991-1-ND","0402","C1005X5R1A105M","2"
"D2","BAT54-FDICT-ND","SOT-23_N","BAT54-7-F","1"
"DIP1","450-1364-ND","DIP-8","ADE0404","1"
"F1","1100-1134-ND","VQ100_N","AGLN250V2-VQG100","1"
"F2","MICROSMD050FCT-ND","1210","MICROSMD050F-2","1"
"FB1","445-6165-1-ND","Ferrite_Bead_3.2mm_1.6mm","HF30ACC321611-T","1"
"H2","H2961CT-ND","USB Mini-B","UX60A-MB-5ST","1"
"I1, I2, I3, I4","541-1327-1-ND","INDUCTOR_.118x.142mm","IHLP1212AEER1R0M11","4"
"LED1, LED2, LED3, LED4, LED9","160-1169-1-ND","1206_LED","LTST-C150GKT","5"
"P1","A26530-05-ND","HDR2X5","4-103328-0-05","1"
"P2, P5, P10, P15","A26530-04-ND","HDR2X4","4-103328-0-04","4"
"P3","A31726-ND","USB_HORIZONTAL","292303-1","1"
"P4","A26514-12-ND","HDR1X12","4-103327-0-12","1"
"P6","A26530-24-ND","HDR2X24","4-103328-0-24","1"
"P7","A26525-03-ND","HDR2X3","4-103777-0-03","1"
"P8, P11, P16","A26514-02-ND","HDR1X2","4-103327-0-02","3"
"P9","A26530-08-ND","HDR2X8","4-103328-0-08","1"
"P12","A26530-06-ND","HDR2X6","4-103328-0-06","1"
"Q2","SI3477DV-T1-GE3CT-ND","TSOP-6","SI3477DV-T1-GE3","1"
"R4, R13, R14, R16, R45, R52","P4.7KGCT-ND","0603","ERJ-3GEYJ472V","6"
"R5, R6, R7, R8, R98","P470GCT-ND","0603","ERJ-3GEYJ471V","5"
"R9, R63, R65, R66, R67, R68, R69, R70, R71, R72","P47KGCT-ND, P10KGCT-ND, P10KGCT-ND, P10KGCT-ND, P10KGCT-ND, P10KGCT-ND, P10KGCT-ND, P10KGCT-ND, P10KGCT-ND, P10KGCT-ND","0603","ERJ-3GEYJ103V","10"
"R10, R11","P1.0KGCT-ND","0603","ERJ-3GEYJ102V","2"
"R12, R44, R55, R58, R86","P10.0KLCT-ND","0402","ERJ-2RKF1002X","5"
"R15, R87, R88, R89, R90, R91","P68.0KLCT-ND","0402","ERJ-2RKF6802X","6"
"R17, R18, R19, R20, R21, R22, R23, R24, R25, R26, R27, R28, R29, R30, R31, R32, R33, R34, R35, R36, R37, R38, R39, R40, R73, R74, R75, R76","P47GCT-ND","0603","ERJ-3GEYJ470V","28"
"R41, R42, R77, R78, R79, R80, R81, R82, R83, R84, R85, R92, R95, R96, R97, R99, R100, R101, R102","P0.0GCT-ND","0603","ERJ-3GEY0R00V","19"
"R43","P12.0KLCT-ND","0402","ERJ-2RKF1202X","1"
"R46","311-13.0KLRCT-ND","0402","RC0402FR-0713KL","1"
"R47","P51.0KLCT-ND","0402","ERJ-2RKF5102X","1"
"R48","P11.0KLCT-ND","0402","ERJ-2RKF1102X","1"
"R49","P75.0KLCT-ND","0402","ERJ-2RKF7502X","1"
"R50","RMCF0402FT24K0CT-ND","0402","RMCF0402FT24K0","1"
"R51, R93","P0.0JCT-ND","0402","ERJ-2GE0R00X","2"
"R54","P20.0KLCT-ND","0402","ERJ-2RKF2002X","1"
"R56, R57","P4.70KLCT-ND","0402","ERJ-2RKF4701X","2"
"R59, R61","P22GCT-ND","0603","ERJ-3GEYJ220V","2"
"R60","P2.7KGCT-ND","0603","ERJ-3GEYJ272V","1"
"R64","P220KGCT-ND","0603","ERJ-3GEYJ224V","1"
"R94","P1.00KLCT-ND","0402","ERJ-2RKF1001X","1"
"S1, S2, S3, S4","P8008S-ND","EVQPA","EVQ-PAE04M","4"
"S5, S6, S7","CKN9565-ND","SPDT_SW2","OS102011MS2QN1","3"
"U1","3M5066-ND","CPGA-65","200-6310-9UN-1900","1"
"U2, U5, U6","296-25596-1-ND","VFSOP-8","SN74AUP3G17DCUR","3"
"U3","FDC6330LCT-ND","SUPERSOT-6","FDC6330L","1"
"U4","LTC3589EUJ-2#PBF-ND","QFN-40","LTC3589EUJ-2#PBF","1"
"U7","768-1007-1-ND","SSOP20","FT232RL-REEL","1"
"U8, U17, U18","296-17705-1-ND","SOT25","TS5A4594DBVR","3"
"U10","497-11882-1-ND","SOT23-6_L","USBLC6-2SC6Y","1"
"X1","535-9565-1-ND","CRYSTAL_3.2mm_2.5mm","ASE-20.000MHZ-LC-T","1"
